Wavelength (nm),Total,C1D/C1D,C2+
0.06,7.00E-24,0.00E+00,7.00E-24
0.12,8.00E-23,2.09E-28,8.00E-23
0.24,6.70E-22,5.26E-27,6.70E-22
0.62,1.10E-20,2.69E-25,1.10E-20
1.26,9.00E-20,4.71E-24,9.00E-20
2.46,5.60E-19,5.86E-23,5.60E-19
4.08,2.20E-18,3.86E-22,2.20E-18
4.25,7.60E-20,1.39E-23,7.60E-20
6.2,1.80E-19,4.82E-23,1.80E-19
12.2,6.90E-19,3.65E-22,6.90E-19
24.8,4.87E-18,5.25E-21,4.86E-18
26.1,5.44E-18,6.18E-21,5.43E-18
27.6,6.07E-18,7.29E-21,6.06E-18
29.2,6.66E-18,8.46E-21,6.65E-18
31,7.07E-18,9.54E-21,7.06E-18
33.1,7.41E-18,1.07E-20,7.40E-18
35.4,7.85E-18,1.21E-20,7.84E-18
38.1,8.66E-18,1.44E-20,8.65E-18
41.3,1.00E-17,1.80E-20,9.98E-18
45.1,1.21E-17,2.38E-20,1.21E-17
49.6,1.56E-17,3.37E-20,1.56E-17
55.1,2.15E-17,5.16E-20,2.14E-17
62,3.15E-17,8.51E-20,3.14E-17
70.8,4.55E-17,1.40E-19,4.54E-17
82.7,5.53E-17,1.99E-19,5.51E-17
85.5,5.58E-17,2.08E-19,5.56E-17
91.8,5.00E-17,2.00E-19,4.98E-17
95.4,4.99E-17,1.30E-17,3.69E-17
97.2,4.00E-18,2.20E-18,1.80E-18
99.2,7.00E-18,6.10E-18,9.01E-19
101.6,7.70E-18,7.70E-18,0.00E+00
103.3,7.00E-18,7.00E-18,0.00E+00
105.5,4.00E-18,4.00E-18,0.00E+00
107.8,4.00E-19,4.00E-19,0.00E+00
109.7,4.00E-20,4.00E-20,0.00E+00
112.7,4.00E-19,4.00E-19,0.00E+00
115.3,1.00E-18,1.00E-18,0.00E+00
117,5.00E-18,5.00E-18,0.00E+00
117.8,1.60E-18,1.60E-18,0.00E+00
118,1.00E-17,1.00E-17,0.00E+00
119.2,2.00E-19,2.00E-19,0.00E+00
121,2.00E-20,2.00E-20,0.00E+00
143.6,1.00E-35,1.00E-35,0.00E+00
