Wavelength (nm),
0.5,0
1.5,0
2.5,0
3.5,0
4.5,0
5.5,0
6.5,0
7.5,0
8.5,0
9.5,0
10.5,0
11.5,0
12.5,0
13.5,0
14.5,0
15.5,0
16.5,0
17.5,0
18.5,0
19.5,0
20.5,0
21.5,0
22.5,0
23.5,0
24.5,0
25.5,0
26.5,0
27.5,0
28.5,0
29.5,0
30.5,0
31.5,0
32.5,0
33.5,0
34.5,0
35.5,0
36.5,0
37.5,0
38.5,0
39.5,0
40.5,0
41.5,0
42.5,0
43.5,0
44.5,0
45.5,0
46.5,0
47.5,0
48.5,0
49.5,0
50.5,0
51.5,0
52.5,0
53.5,0
54.5,0
55.5,0
56.5,0
57.5,0
58.5,0
59.5,0
60.5,0
61.5,0
62.5,0
63.5,0
64.5,0
65.5,0
66.5,0
67.5,0
68.5,0
69.5,0
70.5,0
71.5,0
72.5,0
73.5,0
74.5,0
75.5,0
76.5,0
77.5,1.16586E-19
78.5,2.37514E-19
79.5,3.58442E-19
80.5,3.74538E-19
81.5,3.76571E-19
82.5,3.79429E-19
83.5,3.78429E-19
84.5,4.04412E-19
85.5,3.97E-19
86.5,4.00664E-19
87.5,3.91591E-19
88.5,3.93093E-19
89.5,3.87602E-19
90.5,3.75237E-19
91.5,3.524E-19
92.5,3.88E-19
93.5,3.91822E-19
94.5,4.05E-19
95.5,4.13E-19
96.5,3.90452E-19
97.5,3.31742E-19
98.5,2.66222E-19
99.5,2.12507E-19
100.5,2.19672E-19
101.5,2.26836E-19
102.5,2.34E-19
103.5,2.19841E-19
104.5,2.02464E-19
105.5,1.95543E-19
106.5,1.88623E-19
107.5,8.0425E-19
108.5,1.43333E-18
109.5,1.91667E-18
110.5,2.25E-18
111.5,2.58333E-18
112.5,2.91667E-18
113.5,3.52E-18
114.5,3.94941E-18
115.5,4.67372E-18
116.5,5.68654E-18
117.5,6.69936E-18
118.5,6.23333E-18
119.5,6.14571E-18
120.5,6.79839E-18
121.5,6.97779E-18
122.5,5.56257E-18
123.5,3.51198E-18
124.5,1.76456E-18
125.5,1.49726E-18
126.5,1.22997E-18
127.5,9.62673E-19
128.5,7.38985E-19
129.5,5.15738E-19
130.5,3.04273E-19
131.5,1.435E-19
132.5,0
133.5,0
134.5,0
135.5,0
136.5,0
137.5,0
138.5,0
139.5,0
140.5,0
141.5,0
142.5,0
143.5,0
144.5,0
145.5,0
146.5,0
147.5,0
148.5,0
149.5,0
150.5,0
151.5,0
152.5,0
153.5,0
154.5,0
155.5,0
156.5,0
157.5,0
158.5,0
159.5,0
160.5,0
161.5,0
162.5,0
163.5,0
164.5,0
165.5,0
166.5,0
167.5,0
168.5,0
169.5,0
170.5,0
171.5,0
172.5,0
173.5,0
174.5,0
175.5,0
176.5,0
177.5,0
178.5,0
179.5,0
180.5,0
181.5,0
182.5,0
183.5,0
184.5,0
185.5,0
186.5,0
187.5,0
188.5,0
189.5,0
190.5,0
191.5,0
192.5,0
193.5,0
194.5,0
195.5,0
196.5,0
197.5,0
198.5,0
199.5,0
200.5,0
201.5,0
202.5,0
203.5,0
204.5,0
205.5,0
206.5,0
207.5,0
208.5,0
209.5,0
210.5,0
211.5,0
212.5,0
213.5,0
214.5,0
215.5,0
216.5,0
217.5,0
218.5,0
219.5,0
220.5,0
221.5,0
222.5,0
223.5,0
224.5,0
225.5,0
226.5,0
227.5,0
228.5,0
229.5,0
230.5,0
231.5,0
232.5,0
233.5,0
234.5,0
235.5,0
236.5,0
237.5,0
238.5,0
239.5,0
240.5,0
241.5,0
242.5,0
243.5,0
244.5,0
245.5,0
246.5,0
247.5,0
248.5,0
249.5,0
250.5,0
251.5,0
252.5,0
253.5,0
254.5,0
255.5,0
256.5,0
257.5,0
258.5,0
259.5,0
260.5,0
261.5,0
262.5,0
263.5,0
264.5,0
265.5,0
266.5,0
267.5,0
268.5,0
269.5,0
270.5,0
271.5,0
272.5,0
273.5,0
274.5,0
275.5,0
276.5,0
277.5,0
278.5,0
279.5,0
280.5,0
281.5,0
282.5,0
283.5,0
284.5,0
285.5,0
286.5,0
287.5,0
288.5,0
289.5,0
290.5,0
291.5,0
292.5,0
293.5,0
294.5,0
295.5,0
296.5,0
297.5,0
298.5,0
299.5,0
