wavelength(nm) crosssection (cm^2),
0.5,9.88142E-21
1.5,3.4085E-20
2.5,6.52425E-20
3.5,1.57537E-19
4.5,2.58403E-19
5.5,1.34068E-19
6.5,3.77189E-20
7.5,5.33135E-20
8.5,6.89081E-20
9.5,8.45027E-20
10.5,1.1555E-19
11.5,1.6205E-19
12.5,2.0855E-19
13.5,2.5505E-19
14.5,3.0155E-19
15.5,3.4805E-19
16.5,4.25761E-19
17.5,5.16848E-19
18.5,6.07935E-19
19.5,6.99022E-19
20.5,7.90109E-19
21.5,8.81196E-19
22.5,9.72283E-19
23.5,1.06337E-18
24.5,1.15446E-18
25.5,1.22679E-18
26.5,1.28036E-18
27.5,1.33393E-18
28.5,1.36362E-18
29.5,1.38307E-18
30.5,1.47867E-18
31.5,2.08378E-18
32.5,2.6889E-18
33.5,3.29402E-18
34.5,3.89914E-18
35.5,4.50426E-18
36.5,4.25909E-18
37.5,5.51397E-18
38.5,5.95371E-18
39.5,6.39344E-18
40.5,6.83317E-18
41.5,7.2729E-18
42.5,7.37066E-18
43.5,7.36833E-18
44.5,8.35167E-18
45.5,8.81105E-18
46.5,8.75104E-18
47.5,9.29E-18
48.5,9.83192E-18
49.5,1.03738E-17
50.5,1.09157E-17
51.5,1.12517E-17
52.5,1.14816E-17
53.5,1.07926E-17
54.5,1.2275E-17
55.5,1.24E-17
56.5,1.36183E-17
57.5,1.4755E-17
58.5,1.42868E-17
59.5,1.51862E-17
60.5,1.50455E-17
61.5,1.68636E-17
62.5,1.74346E-17
63.5,1.76E-17
64.5,1.78009E-17
65.5,1.80617E-17
66.5,1.80589E-17
67.5,1.8959E-17
68.5,1.94E-17
69.5,1.92505E-17
70.5,1.945E-17
71.5,2.045E-17
72.5,2.07301E-17
73.5,2.06226E-17
74.5,2.05151E-17
75.5,2.19659E-17
76.5,2.3066E-17
77.5,2.23734E-17
78.5,2.17405E-17
79.5,2.11076E-17
80.5,1.9929E-17
81.5,1.86429E-17
82.5,1.73571E-17
83.5,1.48857E-17
84.5,1.29294E-17
85.5,1.00686E-17
86.5,4.39391E-18
87.5,0
88.5,0
89.5,0
90.5,0
91.5,0
92.5,0
93.5,0
94.5,0
95.5,0
96.5,0
97.5,0
98.5,0
99.5,0
100.5,0
101.5,0
102.5,0
103.5,0
104.5,0
105.5,0
106.5,0
107.5,0
108.5,0
109.5,0
110.5,0
111.5,0
112.5,0
113.5,0
114.5,0
115.5,0
116.5,0
117.5,0
118.5,0
119.5,0
120.5,0
121.5,0
122.5,0
123.5,0
124.5,0
125.5,0
126.5,0
127.5,0
128.5,0
129.5,0
130.5,0
131.5,0
132.5,0
133.5,0
134.5,0
135.5,0
136.5,0
137.5,0
138.5,0
139.5,0
140.5,0
141.5,0
142.5,0
143.5,0
144.5,0
145.5,0
146.5,0
147.5,0
148.5,0
149.5,0
150.5,0
151.5,0
152.5,0
153.5,0
154.5,0
155.5,0
156.5,0
157.5,0
158.5,0
159.5,0
160.5,0
161.5,0
162.5,0
163.5,0
164.5,0
165.5,0
166.5,0
167.5,0
168.5,0
169.5,0
170.5,0
171.5,0
172.5,0
173.5,0
174.5,0
175.5,0
176.5,0
177.5,0
178.5,0
179.5,0
180.5,0
181.5,0
182.5,0
183.5,0
184.5,0
185.5,0
186.5,0
187.5,0
188.5,0
189.5,0
190.5,0
191.5,0
192.5,0
193.5,0
194.5,0
195.5,0
196.5,0
197.5,0
198.5,0
199.5,0
200.5,0
201.5,0
202.5,0
203.5,0
204.5,0
205.5,0
206.5,0
207.5,0
208.5,0
209.5,0
210.5,0
211.5,0
212.5,0
213.5,0
214.5,0
215.5,0
216.5,0
217.5,0
218.5,0
219.5,0
220.5,0
221.5,0
222.5,0
223.5,0
224.5,0
225.5,0
226.5,0
227.5,0
228.5,0
229.5,0
230.5,0
231.5,0
232.5,0
233.5,0
234.5,0
235.5,0
236.5,0
237.5,0
238.5,0
239.5,0
240.5,0
241.5,0
242.5,0
243.5,0
244.5,0
245.5,0
246.5,0
247.5,0
248.5,0
249.5,0
250.5,0
251.5,0
252.5,0
253.5,0
254.5,0
255.5,0
256.5,0
257.5,0
258.5,0
259.5,0
260.5,0
261.5,0
262.5,0
263.5,0
264.5,0
265.5,0
266.5,0
267.5,0
268.5,0
269.5,0
270.5,0
271.5,0
272.5,0
273.5,0
274.5,0
275.5,0
276.5,0
277.5,0
278.5,0
279.5,0
280.5,0
281.5,0
282.5,0
283.5,0
284.5,0
285.5,0
286.5,0
287.5,0
288.5,0
289.5,0
290.5,0
291.5,0
292.5,0
293.5,0
294.5,0
295.5,0
296.5,0
297.5,0
298.5,0
299.5,0
